id,jdc,parish,age,conviction_date,charge,state_crime_id,charge_clean_full
843,41,ORLEANS,41,2004-03-18,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
844,41,ORLEANS,46,2014-11-05,RS 14:27 Attempt; RS 14:30.1 Second Degree Murder / RS 14:95.1 Felon In Possession Of A Firearm / RS 40:967 Possession With Intent To Distribute Schedule II,RS 14:27; RS 14:30.1 / RS 14:95.1 / RS 40:967,Attempt; Second Degree Murder / Felon In Possession Of A Firearm / Possession With Intent To Distribute Schedule II
845,41,ORLEANS,66,1982-10-22,"RS 14.42 Aggravated Rape, First Degree Rape / RS 14:64 Armed Robbery",RS 14.42 / RS 14:64,"Aggravated Rape, First Degree Rape / Armed Robbery"
846,41,ORLEANS,41,2003-02-12,RS 14.27 Attempt; RS 14.42 Aggravated Rape,RS 14.27; RS 14.42,Attempt; Aggravated Rape
847,41,ORLEANS,45,2012-10-10,RS 14:95.1 Felon In Possession Of A Firearm,RS 14:95.1,Felon In Possession Of A Firearm
848,41,ORLEANS,51,2010-07-22,RS 14.31 Manslaughter,RS 14.31,Manslaughter
849,41,ORLEANS,77,1979-11-30,"RS 14.42 Aggravated Rape, First Degree Rape",RS 14.42,"Aggravated Rape, First Degree Rape"
850,41,ORLEANS,73,1979-01-24,"RS 14.42 Aggravated Rape, First Degree Rape",RS 14.42,"Aggravated Rape, First Degree Rape"
851,41,ORLEANS,48,2002-04-24,RS 14:27 Attempt; RS 14.31 Manslaughter,RS 14:27; RS 14.31,Attempt; Manslaughter
852,41,ORLEANS,60,1994-02-17,RS 14:64.1 First Degree Robbery,RS 14:64.1,First Degree Robbery
853,41,ORLEANS,45,1999-03-01,RS 14:27 Attempt; RS 14.31 Manslaughter / RS 14.31 Manslaughter,RS 14:27; RS 14.31 / RS 14.31,Attempt; Manslaughter / Manslaughter
854,41,ORLEANS,58,2003-01-23,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
855,41,ORLEANS,40,2002-06-12,RS 14.27 Attempt; RS 14.42 Aggravated Rape / RS 14:(26)64 Conspiracy To Commit Armed Robbery / RS 14:43.3 Oral Sexual Battery,RS 14.27; RS 14.42 / RS 14:(26)64 / RS 14:43.3,Attempt; Aggravated Rape / Conspiracy To Commit Armed Robbery / Oral Sexual Battery
856,41,ORLEANS,65,1989-08-16,RS 14:27 Attempt; RS 14:30.1 Second Degree Murder,RS 14:27; RS 14:30.1,Attempt; Second Degree Murder
857,41,ORLEANS,64,1991-11-01,RS 14:64 Armed Robbery / RS 14:27 Attempt; RS 14:30.1 Second Degree Murder,RS 14:64 / RS 14:27; RS 14:30.1,Armed Robbery / Attempt; Second Degree Murder
858,41,ORLEANS,49,1994-05-26,"RS 14.42 Aggravated Rape, First Degree Rape",RS 14.42,"Aggravated Rape, First Degree Rape"
859,41,ORLEANS,42,2007-10-10,RS 14.31 Manslaughter,RS 14.31,Manslaughter
860,41,ORLEANS,54,1989-02-22,RS 14.27 Attempt; RS 14.42 Aggravated Rape,RS 14.27; RS 14.42,Attempt; Aggravated Rape
861,41,ORLEANS,43,2016-06-29,RS 14:64 Armed Robbery,RS 14:64,Armed Robbery
862,41,ORLEANS,48,2018-06-07,RS 14:27 Attempt; RS 14.31 Manslaughter / RS 14:54 Simple Kidnapping,RS 14:27; RS 14.31 / RS 14:54,Attempt; Manslaughter / Simple Kidnapping
863,41,ORLEANS,66,1993-03-18,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
865,41,ORLEANS,47,2010-10-21,RS 14.31 Manslaughter,RS 14.31,Manslaughter
866,41,ORLEANS,64,1986-08-27,"RS 14.42 Aggravated Rape, First Degree Rape / RS 14:64 Armed Robbery",RS 14.42 / RS 14:64,"Aggravated Rape, First Degree Rape / Armed Robbery"
867,41,ORLEANS,60,2007-06-20,"RS 14:42.1 Second Degree Rape, Forcible Rape",RS 14:42.1,"Second Degree Rape, Forcible Rape"
868,42,DESOTO,36,2015-09-17,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
869,42,DESOTO,37,2013-05-09,RS 14:27 Attempt; RS 14:30.1 Second Degree Murder,RS 14:27; RS 14:30.1,Attempt; Second Degree Murder
870,42,DESOTO,92,1990-03-14,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
