id,sentence_id,jdc,parish,age,conviction_date,charge,state_crime_id,charge_clean_full
789,1,41,ORLEANS,67,1996-03-12,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
790,1,41,ORLEANS,66,1993-08-24,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
791,1,41,ORLEANS,45,2000-10-16,RS 14.31 Manslaughter,RS 14.31,Manslaughter
792,1,41,ORLEANS,49,2000-02-24,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
793,1,41,ORLEANS,44,2008-03-13,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
794,1,41,ORLEANS,71,2006-11-08,RS 14:27 Attempt; RS 14:30.1 Second Degree Murder,RS 14:27; RS 14:30.1,Attempt; Second Degree Murder
795,1,41,ORLEANS,64,1995-07-18,"RS 14.42 Aggravated Rape, First Degree Rape",RS 14.42,"Aggravated Rape, First Degree Rape"
796,1,41,ORLEANS,55,2002-06-07,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
797,1,41,ORLEANS,54,2002-03-12,"RS 14:42.1 Second Degree Rape, Forcible Rape",RS 14:42.1,"Second Degree Rape, Forcible Rape"
797,2,41,ORLEANS,54,2002-03-12,RS 14:44.1 Second Degree Kidnapping,RS 14:44.1,Second Degree Kidnapping
797,3,41,ORLEANS,54,2002-03-12,RS 14:43.5 Intentional Exposure To Hiv,RS 14:43.5,Intentional Exposure To Hiv
798,1,41,ORLEANS,33,2015-08-20,RS 14.31 Manslaughter,RS 14.31,Manslaughter
799,1,41,ORLEANS,66,1986-02-27,"RS 14.42 Aggravated Rape, First Degree Rape",RS 14.42,"Aggravated Rape, First Degree Rape"
800,1,41,ORLEANS,59,1989-10-04,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
801,1,41,ORLEANS,45,2013-06-03,RS 14:62 Simple Burglary,RS 14:62,Simple Burglary
801,2,41,ORLEANS,45,2013-06-03,"RS 14:42.1 Second Degree Rape, Forcible Rape",RS 14:42.1,"Second Degree Rape, Forcible Rape"
801,3,41,ORLEANS,45,2013-06-03,RS 14:64 Armed Robbery,RS 14:64,Armed Robbery
801,4,41,ORLEANS,45,2013-06-03,RS 14:60 Aggravated Burglary,RS 14:60,Aggravated Burglary
802,1,41,ORLEANS,38,2011-09-28,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
803,1,41,ORLEANS,70,2005-06-02,RS 14.31 Manslaughter,RS 14.31,Manslaughter
804,1,41,ORLEANS,66,1995-08-02,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
805,1,41,ORLEANS,48,2001-10-15,RS 14.31 Manslaughter,RS 14.31,Manslaughter
806,1,41,ORLEANS,45,2012-08-23,RS 14:27 Attempt; RS 14:30.1 Second Degree Murder,RS 14:27; RS 14:30.1,Attempt; Second Degree Murder
807,1,41,ORLEANS,70,2009-04-29,RS 14:64 Armed Robbery,RS 14:64,Armed Robbery
808,1,41,ORLEANS,52,1995-07-25,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
808,2,41,ORLEANS,52,1995-07-25,RS 14.27 Attempt; RS 14:30 First Degree,RS 14.27; RS 14:30,Attempt; First Degree
809,1,41,ORLEANS,58,1991-03-05,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
810,1,41,ORLEANS,57,2009-03-17,RS 14:64 Armed Robbery,RS 14:64,Armed Robbery
811,1,41,ORLEANS,45,1998-07-13,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
812,1,41,ORLEANS,41,2011-02-16,RS 14.31 Manslaughter,RS 14.31,Manslaughter
813,1,41,ORLEANS,50,1998-03-18,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
814,1,41,ORLEANS,67,1985-08-06,RS 14:54 Simple Kidnapping,RS 14:54,Simple Kidnapping
814,2,41,ORLEANS,67,1985-08-06,"RS 14:42.1 Second Degree Rape, Forcible Rape",RS 14:42.1,"Second Degree Rape, Forcible Rape"
815,1,41,ORLEANS,68,1991-10-11,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
816,1,41,ORLEANS,55,1989-03-29,RS 14:27 Attempt; RS 14:30.1 Second Degree Murder,RS 14:27; RS 14:30.1,Attempt; Second Degree Murder
817,1,41,ORLEANS,61,2004-08-31,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
818,1,41,ORLEANS,65,1997-10-09,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
819,1,41,ORLEANS,70,1998-08-11,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
820,1,41,ORLEANS,69,1980-01-22,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
821,1,41,ORLEANS,47,1997-12-03,RS 14:64 Armed Robbery,RS 14:64,Armed Robbery
822,1,41,ORLEANS,66,1984-04-12,"RS 14.42 Aggravated Rape, First Degree Rape",RS 14.42,"Aggravated Rape, First Degree Rape"
822,2,41,ORLEANS,66,1984-04-12,RS 14:44 Aggravated Kidnapping,RS 14:44,Aggravated Kidnapping
823,1,41,ORLEANS,66,1993-06-24,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
824,1,41,ORLEANS,67,2000-10-11,"RS 14.42 Aggravated Rape, First Degree Rape",RS 14.42,"Aggravated Rape, First Degree Rape"
825,1,41,ORLEANS,35,2015-08-25,RS 14:95.1 Felon In Possession Of A Firearm,RS 14:95.1,Felon In Possession Of A Firearm
825,2,41,ORLEANS,35,2015-08-25,RS 14:27 Attempt; RS 14:30.1 Second Degree Murder,RS 14:27; RS 14:30.1,Attempt; Second Degree Murder
826,1,41,ORLEANS,47,1999-07-21,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
827,1,41,ORLEANS,34,2010-03-10,RS 14:27 Attempt; RS 14:30.1 Second Degree Murder,RS 14:27; RS 14:30.1,Attempt; Second Degree Murder
827,2,41,ORLEANS,34,2010-03-10,RS 14:95.1 Felon In Possession Of A Firearm,RS 14:95.1,Felon In Possession Of A Firearm
827,3,41,ORLEANS,34,2010-03-10,RS 14:94 Illegal Carrying And Discharging A Weapon,RS 14:94,Illegal Carrying And Discharging A Weapon
828,1,41,ORLEANS,51,2003-01-29,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
829,1,41,ORLEANS,65,2007-09-13,"RS 14.42 Aggravated Rape, First Degree Rape",RS 14.42,"Aggravated Rape, First Degree Rape"
830,1,41,ORLEANS,56,1993-10-20,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
831,1,41,ORLEANS,47,1998-09-10,RS 14:64 Armed Robbery,RS 14:64,Armed Robbery
831,2,41,ORLEANS,47,1998-09-10,RS 14:27 Attempt; RS 14:34 Armed Robbery,RS 14:27; RS 14:34,Attempt; Armed Robbery
832,1,41,ORLEANS,52,1992-12-17,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
833,1,41,ORLEANS,64,1985-10-24,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
834,1,41,ORLEANS,57,1985-10-23,"RS 14.42 Aggravated Rape, First Degree Rape",RS 14.42,"Aggravated Rape, First Degree Rape"
834,2,41,ORLEANS,57,1985-10-23,RS 14:64 Armed Robbery,RS 14:64,Armed Robbery
835,1,41,ORLEANS,53,1999-10-29,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
836,1,41,ORLEANS,52,1995-12-28,RS 14:64 Armed Robbery,RS 14:64,Armed Robbery
837,1,41,ORLEANS,52,1996-02-07,RS 14.27 Attempt; RS 14:30 First Degree,RS 14.27; RS 14:30,Attempt; First Degree
837,2,41,ORLEANS,52,1996-02-07,RS 14:110 Aggravated Escape,RS 14:110,Aggravated Escape
838,1,41,ORLEANS,62,1997-04-15,RS 14:64 Armed Robbery,RS 14:64,Armed Robbery
838,2,41,ORLEANS,62,1997-04-15,RS 14:65 Simple Robbery,RS 14:65,Simple Robbery
838,3,41,ORLEANS,62,1997-04-15,RS 14.27 Attempt; RS 14:64.1 First Degree Robbery,RS 14.27; RS 14:64.1,Attempt; First Degree Robbery
838,4,41,ORLEANS,62,1997-04-15,RS 14:27 Attempt; RS 14:30.1 Second Degree Murder,RS 14:27; RS 14:30.1,Attempt; Second Degree Murder
839,1,41,ORLEANS,52,1993-10-26,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
840,1,41,ORLEANS,44,2003-06-24,RS 14.31 Manslaughter,RS 14.31,Manslaughter
841,1,41,ORLEANS,40,2009-09-18,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
842,1,41,ORLEANS,52,2013-12-04,"RS 14:42.1 Second Degree Rape, Forcible Rape",RS 14:42.1,"Second Degree Rape, Forcible Rape"
843,1,41,ORLEANS,41,2004-03-18,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
844,1,41,ORLEANS,46,2014-11-05,RS 14:27 Attempt; RS 14:30.1 Second Degree Murder,RS 14:27; RS 14:30.1,Attempt; Second Degree Murder
844,2,41,ORLEANS,46,2014-11-05,RS 14:95.1 Felon In Possession Of A Firearm,RS 14:95.1,Felon In Possession Of A Firearm
844,3,41,ORLEANS,46,2014-11-05,RS 40:967 Possession With Intent To Distribute Schedule II,RS 40:967,Possession With Intent To Distribute Schedule II
845,1,41,ORLEANS,66,1982-10-22,"RS 14.42 Aggravated Rape, First Degree Rape",RS 14.42,"Aggravated Rape, First Degree Rape"
845,2,41,ORLEANS,66,1982-10-22,RS 14:64 Armed Robbery,RS 14:64,Armed Robbery
846,1,41,ORLEANS,41,2003-02-12,RS 14.27 Attempt; RS 14.42 Aggravated Rape,RS 14.27; RS 14.42,Attempt; Aggravated Rape
847,1,41,ORLEANS,45,2012-10-10,RS 14:95.1 Felon In Possession Of A Firearm,RS 14:95.1,Felon In Possession Of A Firearm
848,1,41,ORLEANS,51,2010-07-22,RS 14.31 Manslaughter,RS 14.31,Manslaughter
849,1,41,ORLEANS,77,1979-11-30,"RS 14.42 Aggravated Rape, First Degree Rape",RS 14.42,"Aggravated Rape, First Degree Rape"
850,1,41,ORLEANS,73,1979-01-24,"RS 14.42 Aggravated Rape, First Degree Rape",RS 14.42,"Aggravated Rape, First Degree Rape"
851,1,41,ORLEANS,48,2002-04-24,RS 14:27 Attempt; RS 14.31 Manslaughter,RS 14:27; RS 14.31,Attempt; Manslaughter
852,1,41,ORLEANS,60,1994-02-17,RS 14:64.1 First Degree Robbery,RS 14:64.1,First Degree Robbery
853,1,41,ORLEANS,45,1999-03-01,RS 14:27 Attempt; RS 14.31 Manslaughter,RS 14:27; RS 14.31,Attempt; Manslaughter
853,2,41,ORLEANS,45,1999-03-01,RS 14.31 Manslaughter,RS 14.31,Manslaughter
854,1,41,ORLEANS,58,2003-01-23,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
855,1,41,ORLEANS,40,2002-06-12,RS 14.27 Attempt; RS 14.42 Aggravated Rape,RS 14.27; RS 14.42,Attempt; Aggravated Rape
855,2,41,ORLEANS,40,2002-06-12,RS 14:(26)64 Conspiracy To Commit Armed Robbery,RS 14:(26)64,Conspiracy To Commit Armed Robbery
855,3,41,ORLEANS,40,2002-06-12,RS 14:43.3 Oral Sexual Battery,RS 14:43.3,Oral Sexual Battery
856,1,41,ORLEANS,65,1989-08-16,RS 14:27 Attempt; RS 14:30.1 Second Degree Murder,RS 14:27; RS 14:30.1,Attempt; Second Degree Murder
857,1,41,ORLEANS,64,1991-11-01,RS 14:64 Armed Robbery,RS 14:64,Armed Robbery
857,2,41,ORLEANS,64,1991-11-01,RS 14:27 Attempt; RS 14:30.1 Second Degree Murder,RS 14:27; RS 14:30.1,Attempt; Second Degree Murder
858,1,41,ORLEANS,49,1994-05-26,"RS 14.42 Aggravated Rape, First Degree Rape",RS 14.42,"Aggravated Rape, First Degree Rape"
859,1,41,ORLEANS,42,2007-10-10,RS 14.31 Manslaughter,RS 14.31,Manslaughter
860,1,41,ORLEANS,54,1989-02-22,RS 14.27 Attempt; RS 14.42 Aggravated Rape,RS 14.27; RS 14.42,Attempt; Aggravated Rape
861,1,41,ORLEANS,43,2016-06-29,RS 14:64 Armed Robbery,RS 14:64,Armed Robbery
862,1,41,ORLEANS,48,2018-06-07,RS 14:54 Simple Kidnapping,RS 14:54,Simple Kidnapping
862,2,41,ORLEANS,48,2018-06-07,RS 14:27 Attempt; RS 14.31 Manslaughter,RS 14:27; RS 14.31,Attempt; Manslaughter
863,1,41,ORLEANS,66,1993-03-18,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
865,1,41,ORLEANS,47,2010-10-21,RS 14.31 Manslaughter,RS 14.31,Manslaughter
866,1,41,ORLEANS,64,1986-08-27,"RS 14.42 Aggravated Rape, First Degree Rape",RS 14.42,"Aggravated Rape, First Degree Rape"
866,2,41,ORLEANS,64,1986-08-27,RS 14:64 Armed Robbery,RS 14:64,Armed Robbery
867,1,41,ORLEANS,60,2007-06-20,"RS 14:42.1 Second Degree Rape, Forcible Rape",RS 14:42.1,"Second Degree Rape, Forcible Rape"
868,1,42,DESOTO,36,2015-09-17,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
869,1,42,DESOTO,37,2013-05-09,RS 14:27 Attempt; RS 14:30.1 Second Degree Murder,RS 14:27; RS 14:30.1,Attempt; Second Degree Murder
870,1,42,DESOTO,92,1990-03-14,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
