id,sentence_id,jdc,parish,age,conviction_date,charge,state_crime_id,charge_clean_full
51,1,1,CADDO,33,2015-02-10,RS 14:64 Armed Robbery,RS 14:64,Armed Robbery
52,1,1,CADDO,41,2014-10-21,RS 14:64 Armed Robbery,RS 14:64,Armed Robbery
53,1,1,CADDO,45,2010-06-17,RS 14:95.1 Felon In Possession Of A Firearm,RS 14:95.1,Felon In Possession Of A Firearm
53,2,1,CADDO,45,2010-06-17,RS 14:94 Illegal Use Of Weapons During A Crime Of Violence,RS 14:94,Illegal Use Of Weapons During A Crime Of Violence
54,1,1,CADDO,74,1999-01-12,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
55,1,1,CADDO,62,2013-05-07,RS 14:64 Armed Robbery,RS 14:64,Armed Robbery
55,2,1,CADDO,62,2013-05-07,RS 14:44.1 Second Degree Kidnapping,RS 14:44.1,Second Degree Kidnapping
56,1,1,CADDO,41,2014-05-17,RS 14:44.1 Second Degree Kidnapping,RS 14:44.1,Second Degree Kidnapping
56,2,1,CADDO,41,2014-05-17,RS 14:27 Attempt; RS 14:30.1 Second Degree Murder,RS 14:27; RS 14:30.1,Attempt; Second Degree Murder
56,3,1,CADDO,41,2014-05-17,RS 14:27 Attempt; RS 14:60 Aggravated Burglary,RS 14:27; RS 14:60,Attempt; Aggravated Burglary
57,1,1,CADDO,49,2009-09-18,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
